region,state,population,income,unemployment,bachelor,jobs
Marion,SA,95610.0,53824.0,5.1,19.0,77371.0
Mid Murray,SA,9355.0,38638.0,6.0,5.7,6009.0
Mitcham,SA,68162.0,56888.0,4.2,25.7,54177.0
Mount Barker,SA,39632.0,52225.0,3.6,15.6,31350.0
Mount Gambier,SA,27637.0,49255.0,4.7,8.6,21828.0
Mount Remarkable,SA,2920.0,43525.0,4.8,8.3,2312.0
Murray Bridge,SA,22339.0,43959.0,6.4,6.0,15858.0
Naracoorte Lucindale,SA,8892.0,46997.0,2.6,9.4,8812.0
Northern Areas,SA,4659.0,45609.0,3.1,9.1,3852.0
Norwood Payneham and St Peters,SA,37823.0,55765.0,4.9,26.8,31211.0
Onkaparinga,SA,176595.0,50549.0,5.6,11.7,128981.0
Orroroo Carrieton,SA,891.0,35364.0,3.6,8.4,822.0
Peterborough,SA,1668.0,33328.0,11.3,4.3,936.0
Playford,SA,100556.0,48193.0,9.3,6.2,65537.0
Port Adelaide Enfield,SA,134131.0,51146.0,6.3,16.9,106074.0
Port Augusta,SA,14448.0,51364.0,6.4,6.5,10060.0
Port Lincoln,SA,14879.0,47706.0,4.5,8.8,12299.0
Port Pirie,SA,17747.0,47472.0,7.1,6.4,11115.0
Prospect,SA,22487.0,58956.0,4.1,26.0,19815.0
Renmark Paringa,SA,10007.0,41467.0,4.7,7.3,9167.0
Robe,SA,1568.0,44789.0,2.1,9.8,1391.0
Roxby Downs,SA,4109.0,102510.0,2.1,9.8,3930.0
Salisbury,SA,147521.0,48695.0,7.4,10.4,105235.0
Southern Mallee,SA,2026.0,44057.0,2.9,9.2,1913.0
Streaky Bay,SA,2241.0,42165.0,3.5,9.5,1851.0
Tatiara,SA,7070.0,46928.0,1.9,8.8,6847.0
Tea Tree Gully,SA,102044.0,53621.0,4.5,14.6,77011.0
Coorong,SA,5599.0,41330.0,4.1,6.5,4255.0
Tumby Bay,SA,2875.0,39159.0,2.5,8.6,2158.0
Unley,SA,39061.0,60729.0,4.3,29.1,32441.0
Victor Harbor,SA,16429.0,35885.0,5.4,10.6,9018.0
Wakefield,SA,6925.0,43137.0,4.9,6.9,5023.0
Walkerville,SA,8086.0,62759.0,4.1,27.2,6281.0
Wattle Range,SA,12127.0,46848.0,4.1,7.3,9737.0
West Torrens,SA,62425.0,52484.0,4.7,21.6,55460.0
Whyalla,SA,21954.0,55239.0,7.6,7.3,14881.0
Wudinna,SA,1163.0,40614.0,2.9,6.6,1037.0
Yankalilla,SA,5931.0,39006.0,5.2,9.8,3886.0
Yorke Peninsula,SA,11830.0,40121.0,4.8,6.3,7120.0
Unincorporated SA,SA,3100.0,44453.0,5.0,6.1,1942.0
Albany,WA,40105.0,46235.0,3.9,11.1,32321.0
Armadale,WA,97644.0,57107.0,6.3,13.8,77494.0
Ashburton,WA,7781.0,102273.0,1.9,8.7,5329.0
Augusta Margaret River,WA,17303.0,44261.0,2.8,17.3,17884.0
Bassendean,WA,16500.0,60622.0,4.8,17.5,13529.0
Bayswater,WA,71774.0,57748.0,5.1,20.6,62836.0
Belmont,WA,43868.0,56848.0,5.6,17.9,41902.0
Beverley,WA,1735.0,44613.0,6.6,8.7,1244.0
Boddington,WA,1760.0,66626.0,4.1,8.5,1476.0
Boyup Brook,WA,1874.0,42943.0,4.0,10.3,1638.0
Bridgetown-Greenbushes,WA,5376.0,45023.0,3.8,10.8,3988.0
Brookton,WA,961.0,40358.0,5.0,6.8,851.0
Broome,WA,18204.0,61027.0,4.8,14.0,17155.0
Broomehill-Tambellup,WA,1089.0,45966.0,4.4,10.3,949.0
Bruce Rock,WA,1016.0,40514.0,3.7,7.4,697.0
Bunbury,WA,34137.0,50701.0,5.6,10.6,27132.0
Busselton,WA,42009.0,47169.0,3.1,13.0,36732.0
Cambridge,WA,29822.0,74352.0,3.8,33.6,24830.0
Canning,WA,99306.0,49592.0,5.9,22.9,89069.0
Capel,WA,18776.0,56620.0,3.8,12.7,16239.0
Carnamah,WA,573.0,44917.0,5.3,5.3,472.0
Carnarvon,WA,5520.0,49991.0,4.8,8.2,5264.0
Chapman Valley,WA,1613.0,54742.0,4.0,9.5,1397.0
Chittering,WA,6099.0,55767.0,3.6,8.2,4989.0
Christmas Island,WA,1717.0,49170.13051470588,1.5,7.0,38219.95772058824
Claremont,WA,11643.0,62686.0,4.5,33.4,8859.0
Cockburn,WA,122212.0,60203.0,4.7,17.2,106718.0
Cocos Islands,WA,603.0,49170.13051470588,2.0,5.8,38219.95772058824
Collie,WA,9086.0,50319.0,7.9,4.5,6338.0
Coolgardie,WA,3638.0,70276.0,5.5,3.7,2658.0
Coorow,WA,1091.0,48409.0,5.7,6.3,719.0
Corrigin,WA,1028.0,48577.0,2.2,8.6,1018.0
Cottesloe,WA,8245.0,79808.0,3.5,36.7,7209.0
Cranbrook,WA,1134.0,40413.0,3.1,7.8,984.0
Cuballing,WA,927.0,45363.0,3.7,7.4,742.0
Cue,WA,228.0,42290.0,2.6,7.2,149.0
Cunderdin,WA,1341.0,49506.0,5.4,6.6,932.0
Dalwallinu,WA,1436.0,56301.0,1.9,10.1,1344.0
Dandaragan,WA,3473.0,44111.0,4.1,8.3,3193.0
Dardanup,WA,15197.0,55714.0,4.4,9.0,12242.0
Denmark,WA,6468.0,36310.0,3.8,15.7,5215.0
Derby-West Kimberley,WA,8414.0,44427.0,6.1,6.4,4916.0
Donnybrook-Balingup,WA,6312.0,45489.0,4.2,10.5,5477.0
Dowerin,WA,733.0,43461.0,5.1,7.4,549.0
Dumbleyung,WA,698.0,43503.0,3.7,11.5,631.0
Dundas,WA,699.0,44138.0,6.1,4.8,474.0
East Fremantle,WA,8064.0,68294.0,4.1,28.2,6687.0
East Pilbara,WA,10378.0,79827.0,3.7,7.1,5552.0
Esperance,WA,14396.0,48838.0,2.7,9.0,12632.0
Exmouth,WA,3202.0,53387.0,2.4,13.5,3572.0
Fremantle,WA,33112.0,60319.0,4.8,24.6,30841.0
Gingin,WA,5751.0,45097.0,3.4,7.7,5018.0
Gnowangerup,WA,1260.0,47901.0,4.3,10.6,1145.0
Goomalling,WA,983.0,41102.0,3.1,6.8,755.0
Gosnells,WA,131366.0,51603.0,6.8,14.2,104410.0
Greater Geraldton,WA,41182.0,53946.0,5.2,8.8,33160.0
Halls Creek,WA,4038.0,23066.0,24.0,4.9,1859.0
Harvey,WA,29625.0,55697.0,4.3,9.5,24219.0
Irwin,WA,3769.0,45901.0,3.8,6.1,2830.0
Jerramungup,WA,1196.0,36089.0,1.5,11.1,1267.0
Joondalup,WA,165050.0,58714.0,4.4,18.9,138408.0
Kalamunda,WA,60804.0,57501.0,4.6,13.9,48634.0
Kalgoorlie-Boulder,WA,30670.0,73104.0,3.4,9.7,30329.0
Karratha,WA,23412.0,82630.0,2.9,10.7,21477.0
Katanning,WA,4227.0,48086.0,5.2,6.5,3494.0
Kellerberrin,WA,1177.0,41846.0,4.3,7.1,919.0
Kent,WA,506.0,38856.0,1.5,11.6,407.0
Kojonup,WA,1963.0,48630.0,1.5,13.1,2131.0
Kondinin,WA,872.0,36504.0,2.6,8.5,814.0
Koorda,WA,373.0,36264.0,4.0,7.3,298.0
Kulin,WA,789.0,46508.0,1.5,10.6,751.0
Kwinana,WA,47660.0,57572.0,6.9,12.3,39161.0
Lake Grace,WA,1299.0,43449.0,1.3,11.4,1340.0
Laverton,WA,1432.0,52960.0,4.4,4.9,338.0
Leonora,WA,1716.0,66627.0,2.8,4.6,872.0
Mandurah,WA,93412.0,50386.0,7.0,8.9,66896.0
Manjimup,WA,9351.0,41702.0,3.6,8.8,9118.0
Meekatharra,WA,1287.0,51232.0,5.3,6.6,652.0
Melville,WA,106823.0,57855.0,4.5,25.8,85244.0
Menzies,WA,569.0,44980.0,6.8,5.3,89.0
Merredin,WA,3221.0,49932.0,4.6,7.7,2642.0
Mingenew,WA,423.0,52215.0,3.2,10.6,443.0
Moora,WA,2382.0,47472.0,4.7,8.7,2175.0
Morawa,WA,669.0,46226.0,5.0,7.3,489.0
Mosman Park,WA,9478.0,64756.0,4.5,30.2,7857.0
Mount Magnet,WA,699.0,33875.0,4.3,4.5,397.0
Mount Marshall,WA,467.0,43788.0,4.2,7.8,394.0
Mukinbudin,WA,593.0,43253.0,1.5,8.5,491.0
Mundaring,WA,40539.0,57096.0,4.4,13.3,31452.0
Murchison,WA,108.0,56602.0,5.363401109057302,4.2,42.0
Murray,WA,18639.0,50957.0,6.2,6.0,13489.0
Nannup,WA,1575.0,39494.0,4.8,9.2,1162.0
Narembeen,WA,820.0,42757.0,3.8,8.6,687.0
Narrogin,WA,4937.0,49417.0,5.2,10.0,3916.0
Nedlands,WA,22924.0,70611.0,3.7,34.6,18140.0
Ngaanyatjarraku,WA,1476.0,61364.0,26.6,4.7,74.0
Northam,WA,11804.0,52735.0,5.9,6.5,8098.0
Northampton,WA,3332.0,40877.0,4.0,6.8,2607.0
Nungarin,WA,263.0,32988.0,5.5,3.7,160.0
Peppermint Grove,WA,1638.0,89648.0,4.9,33.1,1286.0
Perenjori,WA,652.0,39648.0,5.363401109057302,5.7,341.0
Perth,WA,29653.0,55902.0,6.1,29.6,33355.0
Pingelly,WA,1072.0,42205.0,7.3,7.4,919.0
Plantagenet,WA,5534.0,41682.0,3.9,9.2,4636.0
Port Hedland,WA,16666.0,87224.0,3.5,9.4,15669.0
Quairading,WA,981.0,39928.0,4.2,6.3,752.0
Ravensthorpe,WA,2157.0,50347.0,2.5,10.2,1640.0
Rockingham,WA,140584.0,57720.0,6.4,9.1,113213.0
Sandstone,WA,117.0,66834.0,6.3,8.0,69.0
Serpentine-Jarrahdale,WA,33349.0,60779.0,3.9,9.6,27391.0
Shark Bay,WA,1069.0,49637.0,2.1,11.6,868.0
South Perth,WA,44952.0,61468.0,4.5,28.1,38856.0
Stirling,WA,234322.0,58720.0,4.6,23.0,208592.0
Subiaco,WA,17902.0,69656.0,4.1,33.5,14934.0
Swan,WA,158689.0,56820.0,5.4,12.2,133749.0
Tammin,WA,401.0,39252.0,8.3,10.8,323.0
Three Springs,WA,586.0,48477.0,3.9,5.9,399.0
Toodyay,WA,4709.0,51180.0,5.9,7.4,3653.0
Trayning,WA,307.0,51259.0,5.363401109057302,2.6,235.0
Upper Gascoyne,WA,180.0,56584.0,6.0,10.1,50.0
Victoria Park,WA,38296.0,59618.0,5.0,24.3,36395.0
Victoria Plains,WA,832.0,45028.0,3.1,7.9,778.0
Vincent,WA,37833.0,66962.0,3.9,30.4,39003.0
Wagin,WA,1802.0,44009.0,5.2,7.9,1764.0
Wandering,WA,551.0,55745.0,3.2,5.6,460.0
Wanneroo,WA,216422.0,55520.0,5.7,12.7,178166.0
Waroona,WA,4355.0,50724.0,6.6,5.4,3319.0
West Arthur,WA,795.0,50510.0,2.1,9.1,900.0
Westonia,WA,255.0,44121.0,5.363401109057302,6.9,216.0
Wickepin,WA,712.0,43228.0,3.6,8.0,635.0
Williams,WA,1050.0,56262.0,0.7,11.8,991.0
Wiluna,WA,570.0,22750.0,4.4,6.0,313.0
Wongan-Ballidu,WA,1336.0,50050.0,2.6,6.7,1133.0
Woodanilling,WA,469.0,54095.0,2.8,8.4,346.0
Wyalkatchem,WA,484.0,48455.0,5.0,8.1,374.0
Wyndham-East Kimberley,WA,8050.0,58196.0,3.7,11.4,7672.0
Yalgoo,WA,364.0,34944.0,2.4,4.8,152.0
Yilgarn,WA,1205.0,52895.0,3.1,6.8,794.0
York,WA,3553.0,46103.0,5.9,8.8,2913.0
Break O'Day,TAS,6933.0,31252.0,7.4,9.5,4349.0
Brighton,TAS,19261.0,50245.0,6.6,6.2,13204.0
Burnie,TAS,20408.0,49113.0,6.0,8.9,14768.0
Central Coast (Tas.),TAS,23258.0,47048.0,4.6,10.0,17343.0
Central Highlands (Tas.),TAS,2579.0,41136.0,5.5,6.6,1953.0
Circular Head,TAS,8325.0,46512.0,4.6,7.3,6859.0
Clarence,TAS,62336.0,52644.0,5.2,16.4,47758.0
Derwent Valley,TAS,11106.0,48060.0,7.4,6.1,7710.0
Devonport,TAS,26896.0,45272.0,6.3,9.2,20883.0
Dorset,TAS,6983.0,40551.0,5.0,7.5,5257.0
Flinders (Tas.),TAS,938.0,44918.0,3.5,11.1,818.0
George Town,TAS,7206.0,41306.0,10.0,7.1,4683.0
Glamorgan-Spring Bay,TAS,5113.0,39367.0,4.8,11.1,3988.0
Glenorchy,TAS,51159.0,47780.0,7.2,12.7,42893.0
Hobart,TAS,55947.0,50141.0,7.0,27.8,53291.0
Huon Valley,TAS,18797.0,42921.0,5.4,13.2,13187.0
Kentish,TAS,6775.0,43368.0,5.4,8.7,5233.0
King Island,TAS,1652.0,49047.0,2.1,9.3,1533.0
Kingborough,TAS,40769.0,50565.0,5.2,20.5,31535.0
Latrobe (Tas.),TAS,12697.0,48169.0,4.2,9.0,9504.0
Launceston,TAS,71788.0,48243.0,6.5,14.4,56182.0
Meander Valley,TAS,21139.0,47594.0,4.7,10.8,16132.0
Northern Midlands,TAS,14022.0,47857.0,4.2,9.7,10885.0
Sorell,TAS,16963.0,49525.0,4.7,10.5,12753.0
Southern Midlands,TAS,6834.0,47611.0,4.8,6.7,5374.0
Tasman,TAS,2643.0,32643.0,7.0,10.7,1620.0
Waratah-Wynyard,TAS,14629.0,48560.0,5.4,8.9,9895.0
West Coast,TAS,4366.0,48048.0,9.6,6.5,2824.0
West Tamar,TAS,25717.0,48871.0,4.8,13.5,19253.0
Alice Springs,NT,28483.0,62525.0,3.5,17.0,30619.0
Barkly,NT,7189.0,51226.0,12.0,6.3,3545.0
Central Desert,NT,4118.0,19799.0,18.4,4.1,894.0
Coomalie,NT,1400.0,44832.0,7.7,7.0,1033.0
Darwin,NT,84854.0,64237.0,4.1,20.2,89893.0
Darwin Waterfront Precinct,NT,312.0,91834.0,3.7,30.4,354.0
East Arnhem,NT,10089.0,18272.0,26.2,2.7,1352.0
Katherine,NT,10679.0,57365.0,3.9,11.6,11105.0
Litchfield,NT,22879.0,66185.0,3.5,8.3,20451.0
MacDonnell,NT,6574.0,21416.0,14.2,3.8,1086.0
Palmerston,NT,39476.0,68127.0,4.2,11.8,36682.0
Roper Gulf,NT,7435.0,27240.0,13.5,4.0,1807.0
Tiwi Islands,NT,2735.0,27322.0,26.9,3.6,786.0
Victoria Daly,NT,3221.0,28763.0,18.3,3.9,1194.0
Wagait,NT,464.0,59895.0,5.1,15.2,405.0
West Arnhem,NT,7182.0,31370.0,24.2,4.2,1890.0
West Daly,NT,3422.0,33181.0,19.6,2.7,648.0
Unincorporated NT,NT,7474.0,60487.0,2.3,12.1,7108.0
Unincorporated ACT,ACT,452508.0,69743.0,3.8,24.2,397473.0
Unincorp. Other Territories,Other,2530.0,49170.13051470588,3.2,11.0,38219.95772058824
