region,state,population,income,unemployment,bachelor,jobs
Muswellbrook,NSW,16469.0,55040.0,5.1,6.4,12729.0
Nambucca Valley,NSW,20382.0,36158.0,6.8,9.3,13057.0
Narrabri,NSW,12808.0,50053.0,4.1,8.1,10817.0
Narrandera,NSW,5733.0,45360.0,5.2,8.1,4384.0
Narromine,NSW,6448.0,45359.0,4.4,8.9,5381.0
Newcastle,NSW,169433.0,56411.0,4.9,19.1,141731.0
North Sydney,NSW,69471.0,81870.0,3.5,37.1,65375.0
Northern Beaches,NSW,264567.0,61975.0,3.2,25.9,232432.0
Oberon,NSW,5567.0,50720.0,3.5,9.4,4471.0
Orange,NSW,43750.0,55242.0,3.5,14.6,36380.0
Parkes,NSW,14451.0,48778.0,5.1,8.7,11722.0
Parramatta,NSW,258527.0,55293.0,5.7,27.1,217957.0
Penrith,NSW,219239.0,58362.0,4.6,11.8,173549.0
Port Macquarie-Hastings,NSW,86638.0,43528.0,4.8,11.9,61283.0
Port Stephens,NSW,75328.0,46798.0,5.0,9.6,53908.0
Queanbeyan-Palerang Regional,NSW,63404.0,69197.0,3.1,16.4,55746.0
Randwick,NSW,135219.0,65831.0,4.3,27.6,123721.0
Richmond Valley,NSW,23595.0,43477.0,4.7,7.1,16673.0
Ryde,NSW,129813.0,57941.0,5.1,28.9,108644.0
Shellharbour,NSW,76492.0,53079.0,4.3,9.6,56678.0
Shoalhaven,NSW,108550.0,44495.0,4.9,10.6,72966.0
Singleton,NSW,24725.0,55818.0,3.7,8.6,20320.0
Snowy Monaro Regional,NSW,21667.0,49382.0,2.8,13.3,20810.0
Snowy Valleys,NSW,14900.0,48827.0,4.2,8.7,12068.0
Strathfield,NSW,45963.0,51469.0,6.4,28.7,45531.0
Sutherland Shire,NSW,230994.0,62542.0,3.1,19.4,187540.0
Sydney,NSW,214703.0,62586.0,5.6,33.6,236067.0
Tamworth Regional,NSW,63670.0,50223.0,4.5,10.6,52018.0
Temora,NSW,6013.0,43938.0,2.9,9.0,5254.0
Tenterfield,NSW,6800.0,31173.0,7.0,8.5,4731.0
The Hills Shire,NSW,192660.0,62856.0,4.1,25.8,154005.0
Tweed,NSW,97216.0,43209.0,5.0,12.6,71198.0
Upper Hunter Shire,NSW,14258.0,50179.0,3.2,9.3,12552.0
Upper Lachlan Shire,NSW,8494.0,48057.0,3.0,10.8,7678.0
Uralla,NSW,5992.0,45840.0,4.1,13.0,4857.0
Wagga Wagga,NSW,67891.0,54464.0,4.0,13.7,56818.0
Walcha,NSW,3019.0,41769.0,3.0,9.5,2779.0
Walgett,NSW,5588.0,41296.0,6.7,7.4,4013.0
Warren,NSW,2584.0,46788.0,4.5,9.2,2275.0
Warrumbungle Shire,NSW,9256.0,38680.0,6.1,7.6,6892.0
Waverley,NSW,69397.0,71745.0,3.7,35.7,72912.0
Weddin,NSW,3592.0,39618.0,4.7,8.6,2736.0
Wentworth,NSW,7490.0,42084.0,4.3,8.5,6906.0
Willoughby,NSW,76044.0,64689.0,4.4,33.2,60969.0
Wingecarribee,NSW,52489.0,48341.0,3.0,16.6,40556.0
Wollondilly,NSW,54196.0,58500.0,2.9,9.9,43031.0
Wollongong,NSW,214700.0,53422.0,4.9,15.7,162490.0
Woollahra,NSW,53910.0,81800.0,3.3,36.5,47710.0
Yass Valley,NSW,17240.0,63018.0,2.7,16.8,15343.0
Unincorporated NSW,NSW,1020.0,40794.0,2.8,11.1,284.0
Alpine,VIC,13166.0,43274.0,2.1,13.8,11858.0
Ararat,VIC,11827.0,46271.0,3.5,8.9,8808.0
Ballarat,VIC,113504.0,50324.0,4.7,14.9,86465.0
Banyule,VIC,127370.0,59388.0,4.3,23.5,100004.0
Bass Coast,VIC,40675.0,41118.0,3.8,11.8,27512.0
Baw Baw,VIC,57618.0,48689.0,3.8,11.3,44456.0
Bayside (Vic.),VIC,102328.0,64450.0,3.9,28.8,79523.0
Benalla,VIC,14436.0,44218.0,3.5,9.1,11321.0
Boroondara,VIC,169789.0,61804.0,4.3,32.4,140001.0
Brimbank,VIC,196631.0,46268.0,7.9,14.2,150416.0
Buloke,VIC,6132.0,42513.0,3.5,8.5,5178.0
Campaspe,VIC,38556.0,45809.0,3.5,8.6,31393.0
Cardinia,VIC,119573.0,52760.0,4.3,12.8,95137.0
Casey,VIC,369558.0,51505.0,5.7,14.8,286744.0
Central Goldfields,VIC,13388.0,40524.0,5.9,6.7,8024.0
Colac Otway,VIC,22309.0,46269.0,2.8,10.3,18167.0
Corangamite,VIC,16030.0,45387.0,2.6,9.4,13850.0
Darebin,VIC,150296.0,57142.0,5.3,24.3,132316.0
East Gippsland,VIC,48477.0,40870.0,4.4,9.2,34896.0
Frankston,VIC,140824.0,53431.0,4.6,12.9,109287.0
Gannawarra,VIC,10615.0,41525.0,3.6,6.6,7850.0
Glen Eira,VIC,150638.0,60040.0,4.2,29.5,127008.0
Glenelg,VIC,20058.0,45597.0,4.4,7.8,16300.0
Golden Plains,VIC,24892.0,53397.0,3.1,11.2,19821.0
Greater Bendigo,VIC,121272.0,50580.0,4.2,13.1,92395.0
Greater Dandenong,VIC,160100.0,44284.0,7.3,14.3,126741.0
Greater Geelong,VIC,270932.0,51358.0,4.4,16.1,212891.0
Greater Shepparton,VIC,68526.0,47459.0,4.6,9.9,55525.0
Hepburn,VIC,16485.0,44006.0,4.0,15.2,12406.0
Hindmarsh,VIC,5656.0,47702.0,3.7,8.3,4419.0
Hobsons Bay,VIC,92267.0,61556.0,5.2,20.6,74508.0
Horsham,VIC,20376.0,50341.0,3.1,10.1,17351.0
Hume,VIC,246920.0,48900.0,7.5,13.5,175321.0
Indigo,VIC,17251.0,49230.0,2.5,14.1,14952.0
Kingston (Vic.),VIC,159554.0,56427.0,4.3,20.7,128002.0
Knox,VIC,160481.0,52552.0,4.4,18.7,127763.0
Latrobe (Vic.),VIC,77117.0,49314.0,6.6,8.6,55760.0
Loddon,VIC,7703.0,39489.0,5.0,7.9,5584.0
Macedon Ranges,VIC,51599.0,56538.0,3.2,17.0,40798.0
Manningham,VIC,125821.0,47857.0,5.2,24.9,92094.0
Mansfield,VIC,10121.0,41902.0,2.0,12.2,8042.0
Maribyrnong,VIC,86385.0,57473.0,5.7,25.7,81807.0
Maroondah,VIC,116075.0,54459.0,4.0,19.5,91429.0
Melbourne,VIC,153110.0,47520.0,7.6,32.6,156288.0
Melton,VIC,181346.0,53217.0,6.5,14.9,132917.0
Mildura,VIC,56966.0,45061.0,5.2,9.1,50626.0
Mitchell,VIC,49712.0,52865.0,4.5,9.7,37647.0
Moira,VIC,30367.0,44160.0,3.5,7.6,23265.0
Monash,VIC,192893.0,47100.0,5.8,25.1,152283.0
Moonee Valley,VIC,122950.0,61468.0,4.6,23.8,104572.0
Moorabool,VIC,37910.0,54632.0,3.7,11.6,29335.0
Moreland,VIC,173500.0,57655.0,5.0,25.0,159912.0
Mornington Peninsula,VIC,170440.0,48298.0,3.3,14.8,120739.0
Mount Alexander,VIC,20114.0,43876.0,3.8,16.6,14509.0
Moyne,VIC,17296.0,48271.0,2.3,12.4,15324.0
Murrindindi,VIC,15139.0,43670.0,3.6,10.3,11673.0
Nillumbik,VIC,63450.0,59031.0,3.5,20.6,52121.0
Northern Grampians,VIC,11886.0,45392.0,3.7,8.5,9466.0
Port Phillip,VIC,103438.0,67463.0,4.4,30.7,106938.0
Pyrenees,VIC,7619.0,41195.0,3.8,8.2,5631.0
Queenscliffe,VIC,3236.0,42180.0,3.1,24.8,2186.0
South Gippsland,VIC,30388.0,43146.0,3.2,11.2,23294.0
Southern Grampians,VIC,16492.0,46176.0,2.9,10.8,14864.0
Stonnington,VIC,106190.0,69437.0,4.1,34.5,100575.0
Strathbogie,VIC,11368.0,43331.0,3.4,10.4,8867.0
Surf Coast,VIC,37648.0,53099.0,2.8,22.5,30782.0
Swan Hill,VIC,21381.0,42845.0,3.5,8.2,20318.0
Towong,VIC,6186.0,44115.0,3.5,9.3,5098.0
Wangaratta,VIC,29751.0,47784.0,2.9,11.6,25284.0
Warrnambool,VIC,35433.0,50140.0,3.1,13.1,30524.0
Wellington,VIC,45469.0,45964.0,4.7,9.6,34036.0
West Wimmera,VIC,3978.0,41480.0,3.2,8.8,3870.0
Whitehorse,VIC,171077.0,48399.0,5.4,25.7,135249.0
Whittlesea,VIC,231831.0,51306.0,5.9,15.2,175986.0
Wodonga,VIC,43207.0,52899.0,4.2,10.7,35243.0
Wyndham,VIC,296322.0,52464.0,6.8,19.4,237624.0
Yarra,VIC,91521.0,71583.0,3.8,35.0,92226.0
Yarra Ranges,VIC,157421.0,52702.0,3.6,14.4,125221.0
Yarriambiack,VIC,6510.0,46405.0,2.9,7.1,5152.0
Unincorporated Vic,VIC,946.0,34908.0,1.9,17.1,723.0
Aurukun,QLD,1130.0,17218.0,17.1,2.5,493.0
Balonne,QLD,4378.0,45266.0,4.6,9.6,4212.0
Banana,QLD,14657.0,52217.0,2.8,7.9,12802.0
Barcaldine,QLD,2863.0,48782.0,2.4,9.2,2585.0
Barcoo,QLD,312.0,50849.0,2.3,7.1,330.0
Blackall Tambo,QLD,1918.0,46961.0,2.2,7.3,1697.0
Boulia,QLD,470.0,61768.0,3.3,5.5,319.0
Brisbane,QLD,1262968.0,57662.0,5.0,25.0,1102945.0
Bulloo,QLD,342.0,61583.0,1.8,5.0,322.0
