Location,metric,raw_value,metric_id,normalised_value,city_order
Adelaide,Max temp,22.78106617647059,avg_MaxTemp,0.4741258498223198,25
Adelaide,Min temp,12.525310059715205,avg_MinTemp,0.45352184863230216,25
Adelaide,Rainfall,1.5255419415645617,avg_Rainfall,0.19375676400029382,25
Adelaide,Humidity 3pm,44.996780128794846,avg_Humidity3pm,0.45702792947503007,25
Adelaide,Wind gust,36.50323774283071,avg_WindGustSpeed,0.4216141302516397,25
Adelaide,Sunshine,7.755278470490442,avg_Sunshine,0.4351175046254087,25
Adelaide,Rain tomorrow rate,0.23094582185491278,rain_probability,0.5391008080189086,25
Albany,Max temp,20.003743842364532,avg_MaxTemp,0.3538624737208389,41
Albany,Min temp,12.901591248135256,avg_MinTemp,0.4728413917521974,41
Albany,Rainfall,2.208439646712463,avg_Rainfall,0.3268933331682745,41
Albany,Humidity 3pm,67.52088607594938,avg_Humidity3pm,0.9522443589877019,41
Albany,Wind gust,40.00855815115693,avg_WindGustSpeed,0.6002372316907207,41
Albany,Sunshine,6.629655575014594,avg_Sunshine,0.0799825111966832,41
Albany,Rain tomorrow rate,0.29205265724037055,rain_probability,0.7415103354159872,41
Albury,Max temp,22.529285380663243,avg_MaxTemp,0.46322325916171675,27
Albury,Min temp,9.497053320860617,avg_MinTemp,0.298040951779429,27
Albury,Rainfall,2.039530516431925,avg_Rainfall,0.2939630978824085,27
Albury,Humidity 3pm,48.1033193080879,avg_Humidity3pm,0.5253284979468755,27
Albury,Wind gust,32.85473289597001,avg_WindGustSpeed,0.23569467769210417,27
Albury,Sunshine,7.647679004727114,avg_Sunshine,0.4011697804627442,27
Albury,Rain tomorrow rate,0.20681605975723621,rain_probability,0.4591736818375882,27
AliceSprings,Max temp,29.295516753185463,avg_MaxTemp,0.7562140360515718,5
AliceSprings,Min temp,13.219641170915958,avg_MinTemp,0.4891711456345036,5
AliceSprings,Rainfall,0.8812677388836329,avg_Rainfall,0.06815016684560327,5
AliceSprings,Humidity 3pm,24.25390070921986,avg_Humidity3pm,0.0009736599704285946,5
AliceSprings,Wind gust,40.460287081339715,avg_WindGustSpeed,0.623256303592777,5
AliceSprings,Sunshine,9.54570938215103,avg_Sunshine,1.0,5
AliceSprings,Rain tomorrow rate,0.08069844266163284,rain_probability,0.041423243417047284,5
BadgerysCreek,Max temp,23.962187346738595,avg_MaxTemp,0.52527065853862,21
BadgerysCreek,Min temp,11.132578740157479,avg_MinTemp,0.38201433347959873,21
