state,bachelor,income_trend
SA,17.0,51088.19
SA,18.0,51798.53
SA,19.0,52508.86
SA,20.0,53219.19
SA,21.0,53929.52
SA,22.0,54639.85
SA,23.0,55350.18
SA,24.0,56060.51
SA,25.0,56770.84
SA,26.0,57481.17
SA,27.0,58191.5
SA,28.0,58901.83
SA,29.0,59612.16
SA,30.0,60322.49
SA,31.0,61032.82
SA,32.0,61743.15
SA,33.0,62453.48
SA,34.0,63163.81
SA,35.0,63874.14
SA,36.0,64584.47
SA,37.0,65294.81
SA,38.0,66005.14
SA,39.0,66715.47
SA,40.0,67425.8
SA,41.0,68136.13
SA,42.0,68846.46
SA,43.0,69556.79
SA,44.0,70267.12
SA,45.0,70977.45
SA,46.0,71687.78
SA,47.0,72398.11
SA,48.0,73108.44
SA,49.0,73818.77
SA,50.0,74529.1
SA,51.0,75239.43
SA,52.0,75949.76
SA,53.0,76660.09
SA,54.0,77370.42
SA,55.0,78080.76
SA,56.0,78791.09
SA,57.0,79501.42
SA,58.0,80211.75
SA,59.0,80922.08
SA,60.0,81632.41
SA,61.0,82342.74
SA,62.0,83053.07
SA,63.0,83763.4
SA,64.0,84473.73
SA,65.0,85184.06
WA,0.0,42935.64
WA,1.0,43717.63
WA,2.0,44499.61
WA,3.0,45281.6
WA,4.0,46063.59
WA,5.0,46845.57
WA,6.0,47627.56
WA,7.0,48409.54
WA,8.0,49191.53
WA,9.0,49973.52
WA,10.0,50755.5
WA,11.0,51537.49
WA,12.0,52319.48
WA,13.0,53101.46
WA,14.0,53883.45
WA,15.0,54665.44
WA,16.0,55447.42
WA,17.0,56229.41
WA,18.0,57011.39
WA,19.0,57793.38
WA,20.0,58575.37
WA,21.0,59357.35
WA,22.0,60139.34
WA,23.0,60921.33
WA,24.0,61703.31
WA,25.0,62485.3
WA,26.0,63267.29
WA,27.0,64049.27
WA,28.0,64831.26
WA,29.0,65613.24
WA,30.0,66395.23
WA,31.0,67177.22
WA,32.0,67959.2
WA,33.0,68741.19
WA,34.0,69523.18
WA,35.0,70305.16
WA,36.0,71087.15
WA,37.0,71869.13
WA,38.0,72651.12
WA,39.0,73433.11
WA,40.0,74215.09
WA,41.0,74997.08
WA,42.0,75779.07
WA,43.0,76561.05
WA,44.0,77343.04
WA,45.0,78125.03
WA,46.0,78907.01
