Location,direction,count,direction_order
Hobart,E,16,4
Katherine,E,254,4
Launceston,E,45,4
Melbourne,E,3,4
MelbourneAirport,E,4,4
Mildura,E,41,4
Moree,E,184,4
MountGambier,E,38,4
MountGinini,E,116,4
Newcastle,E,0,4
Nhil,E,53,4
NorahHead,E,28,4
NorfolkIsland,E,335,4
Nuriootpa,E,42,4
PearceRAAF,E,428,4
Penrith,E,91,4
Perth,E,100,4
PerthAirport,E,437,4
Portland,E,114,4
Richmond,E,178,4
Sale,E,363,4
SalmonGums,E,106,4
Sydney,E,99,4
SydneyAirport,E,81,4
Townsville,E,281,4
Tuggeranong,E,114,4
Uluru,E,272,4
WaggaWagga,E,242,4
Walpole,E,36,4
Watsonia,E,24,4
Williamtown,E,105,4
Witchcliffe,E,31,4
Wollongong,E,25,4
Woomera,E,53,4
Adelaide,ESE,102,5
Albany,ESE,0,5
Albury,ESE,85,5
AliceSprings,ESE,464,5
BadgerysCreek,ESE,140,5
Ballarat,ESE,86,5
Bendigo,ESE,20,5
Brisbane,ESE,177,5
Cairns,ESE,199,5
Canberra,ESE,103,5
Cobar,ESE,124,5
CoffsHarbour,ESE,43,5
Dartmoor,ESE,141,5
Darwin,ESE,294,5
GoldCoast,ESE,129,5
Hobart,ESE,106,5
Katherine,ESE,192,5
Launceston,ESE,31,5
Melbourne,ESE,9,5
MelbourneAirport,ESE,5,5
Mildura,ESE,62,5
Moree,ESE,86,5
MountGambier,ESE,53,5
MountGinini,ESE,85,5
Newcastle,ESE,0,5
Nhil,ESE,37,5
NorahHead,ESE,45,5
NorfolkIsland,ESE,161,5
Nuriootpa,ESE,104,5
PearceRAAF,ESE,165,5
Penrith,ESE,152,5
Perth,ESE,90,5
PerthAirport,ESE,117,5
Portland,ESE,89,5
Richmond,ESE,207,5
Sale,ESE,193,5
SalmonGums,ESE,67,5
Sydney,ESE,96,5
SydneyAirport,ESE,34,5
Townsville,ESE,232,5
Tuggeranong,ESE,59,5
Uluru,ESE,96,5
WaggaWagga,ESE,61,5
Walpole,ESE,113,5
Watsonia,ESE,28,5
Williamtown,ESE,104,5
Witchcliffe,ESE,37,5
Wollongong,ESE,39,5
Woomera,ESE,68,5
Adelaide,SE,128,6
Albany,SE,0,6
Albury,SE,192,6
AliceSprings,SE,273,6
BadgerysCreek,SE,114,6
Ballarat,SE,255,6
Bendigo,SE,105,6
Brisbane,SE,187,6
Cairns,SE,696,6
Canberra,SE,64,6
Cobar,SE,66,6
CoffsHarbour,SE,58,6
Dartmoor,SE,140,6
Darwin,SE,124,6
GoldCoast,SE,322,6
Hobart,SE,185,6
Katherine,SE,124,6
Launceston,SE,98,6
Melbourne,SE,45,6
MelbourneAirport,SE,50,6
Mildura,SE,157,6
Moree,SE,42,6
MountGambier,SE,55,6
MountGinini,SE,19,6
Newcastle,SE,0,6
Nhil,SE,29,6
NorahHead,SE,62,6
NorfolkIsland,SE,187,6
Nuriootpa,SE,359,6
PearceRAAF,SE,59,6
Penrith,SE,201,6
Perth,SE,88,6
PerthAirport,SE,53,6
Portland,SE,176,6
Richmond,SE,211,6
Sale,SE,90,6
SalmonGums,SE,143,6
Sydney,SE,55,6
SydneyAirport,SE,85,6
Townsville,SE,68,6
Tuggeranong,SE,49,6
Uluru,SE,75,6
WaggaWagga,SE,39,6
Walpole,SE,340,6
Watsonia,SE,62,6
Williamtown,SE,200,6
Witchcliffe,SE,145,6
Wollongong,SE,99,6
Woomera,SE,197,6
Adelaide,SSE,139,7
Albany,SSE,0,7
Albury,SSE,140,7
AliceSprings,SSE,167,7
BadgerysCreek,SSE,75,7
Ballarat,SSE,141,7
Bendigo,SSE,396,7
Brisbane,SSE,129,7
Cairns,SSE,332,7
Canberra,SSE,51,7
Cobar,SSE,77,7
CoffsHarbour,SSE,96,7
Dartmoor,SSE,62,7
Darwin,SSE,49,7
GoldCoast,SSE,486,7
Hobart,SSE,79,7
Katherine,SSE,56,7
Launceston,SSE,199,7
Melbourne,SSE,196,7
MelbourneAirport,SSE,305,7
Mildura,SSE,198,7
Moree,SSE,37,7
MountGambier,SSE,134,7
MountGinini,SSE,58,7
Newcastle,SSE,0,7
Nhil,SSE,78,7
NorahHead,SSE,220,7
NorfolkIsland,SSE,149,7
Nuriootpa,SSE,116,7
PearceRAAF,SSE,15,7
Penrith,SSE,118,7
Perth,SSE,87,7
PerthAirport,SSE,29,7
Portland,SSE,74,7
Richmond,SSE,114,7
Sale,SSE,64,7
SalmonGums,SSE,189,7
Sydney,SSE,160,7
SydneyAirport,SSE,80,7
Townsville,SSE,28,7
Tuggeranong,SSE,113,7
Uluru,SSE,54,7
WaggaWagga,SSE,48,7
Walpole,SSE,96,7
Watsonia,SSE,20,7
Williamtown,SSE,162,7
Witchcliffe,SSE,433,7
Wollongong,SSE,131,7
Woomera,SSE,275,7
Adelaide,S,50,8
Albany,S,0,8
Albury,S,43,8
AliceSprings,S,135,8
BadgerysCreek,S,100,8
Ballarat,S,208,8
Bendigo,S,140,8
Brisbane,S,28,8
Cairns,S,146,8
Canberra,S,119,8
Cobar,S,139,8
CoffsHarbour,S,219,8
Dartmoor,S,143,8
Darwin,S,28,8
GoldCoast,S,211,8
Hobart,S,94,8
Katherine,S,36,8
Launceston,S,67,8
Melbourne,S,220,8
MelbourneAirport,S,310,8
Mildura,S,168,8
Moree,S,69,8
MountGambier,S,243,8
MountGinini,S,61,8
Newcastle,S,0,8
Nhil,S,109,8
NorahHead,S,323,8
NorfolkIsland,S,99,8
Nuriootpa,S,30,8
PearceRAAF,S,76,8
Penrith,S,154,8
Perth,S,57,8
PerthAirport,S,67,8
Portland,S,130,8
Richmond,S,137,8
Sale,S,60,8
SalmonGums,S,187,8
Sydney,S,125,8
SydneyAirport,S,351,8
Townsville,S,30,8
Tuggeranong,S,150,8
Uluru,S,56,8
WaggaWagga,S,50,8
Walpole,S,77,8
Watsonia,S,150,8
Williamtown,S,165,8
Witchcliffe,S,201,8
Wollongong,S,317,8
Woomera,S,188,8
Adelaide,SSW,74,9
Albany,SSW,0,9
Albury,SSW,39,9
AliceSprings,SSW,87,9
BadgerysCreek,SSW,100,9
Ballarat,SSW,95,9
Bendigo,SSW,82,9
Brisbane,SSW,27,9
Cairns,SSW,15,9
Canberra,SSW,32,9
Cobar,SSW,180,9
CoffsHarbour,SSW,202,9
