Code,Label,Year,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Net internal migration (no.),Net overseas migration (no.),Median household income (weekly $),Median employee income ($),Median total income ($),Unemployment rate (%),Participation rate (%),Completed year 12 (%),Bachelor degree (%),Number of jobs,State,Migration total,Opportunity score,Pressure score
10750,Blacktown,2011,48391.60359536868,499.29614402744625,42.209981718464356,0.0978320637077612,513.9822135252488,752.0,51362.68905317535,49669.19890151097,7.2,62.7,50.7,12.7,38781.39796843893,NSW,514.0800455889565,55.189463187635035,48.574040219378425
10750,Blacktown,2016,48391.60359536868,499.29614402744625,42.209981718464356,0.0978320637077612,513.9822135252488,895.0,51362.68905317535,49669.19890151097,7.3,62.8,57.6,15.5,38781.39796843893,NSW,514.0800455889565,55.5409672594316,68.3284859564567
10750,Blacktown,2017,48391.60359536868,499.29614402744625,42.209981718464356,0.0978320637077612,513.9822135252488,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,514.0800455889565,53.466012963270735,58.5769486455044
10750,Blacktown,2018,48391.60359536868,499.29614402744625,42.209981718464356,0.0978320637077612,513.9822135252488,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,284763.0,NSW,514.0800455889565,60.63902276882168,58.5769486455044
10750,Blacktown,2019,48391.60359536868,499.29614402744625,42.209981718464356,0.0978320637077612,513.9822135252488,829.5825716026812,56019.0,52748.0,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,299050.0,NSW,514.0800455889565,72.28311450889147,58.5769486455044
10750,Blacktown,2020,391911.0,1640.8,34.1,0.0978320637077612,513.9822135252488,829.5825716026812,58039.0,54471.0,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,296045.0,NSW,514.0800455889565,73.31186637859399,59.441997673259095
10750,Blacktown,2021,399925.0,1674.4,34.4,-366.0,411.0,1112.0,60610.0,57353.0,5.8,60.6,64.0,19.4,316365.0,NSW,45.0,92.47382416486622,62.68697025095562
10750,Blacktown,2022,411634.0,1723.4,34.7,4173.0,3469.0,829.5825716026812,61672.0,58554.0,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,356339.0,NSW,7642.0,74.99293667940834,67.15015788598969
10750,Blacktown,2023,426820.0,1787.0,34.7,2096.0,9259.0,829.5825716026812,66427.0,62478.0,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,377856.0,NSW,11355.0,76.01254778128637,67.31801562240318
10750,Blacktown,2024,439552.0,1840.3,34.9,1946.0,6817.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,8763.0,53.466012963270735,67.38200099717466
10750,Blacktown,2025,449385.0,1881.5,42.209981718464356,839.0,4994.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,5833.0,53.466012963270735,76.19868705334885
21610,Casey,2011,48391.60359536868,499.29614402744625,42.209981718464356,0.0978320637077612,513.9822135252488,746.0,51362.68905317535,49669.19890151097,5.9,65.5,48.7,9.7,38781.39796843893,VIC,514.0800455889565,51.32665780289181,48.47432275220209
21610,Casey,2016,48391.60359536868,499.29614402744625,42.209981718464356,0.0978320637077612,513.9822135252488,842.0,51362.68905317535,49669.19890151097,7.2,64.2,54.8,11.7,38781.39796843893,VIC,514.0800455889565,54.95263420309124,67.82574372610935
21610,Casey,2017,48391.60359536868,499.29614402744625,42.209981718464356,0.0978320637077612,513.9822135252488,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,VIC,514.0800455889565,53.466012963270735,58.5769486455044
21610,Casey,2018,48391.60359536868,499.29614402744625,42.209981718464356,0.0978320637077612,513.9822135252488,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,255217.0,VIC,514.0800455889565,60.579192288515884,58.5769486455044
21610,Casey,2019,48391.60359536868,499.29614402744625,42.209981718464356,0.0978320637077612,513.9822135252488,829.5825716026812,51336.0,48808.0,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,270524.0,VIC,514.0800455889565,50.53141100216055,58.5769486455044
21610,Casey,2020,363970.0,889.0,33.7,0.0978320637077612,513.9822135252488,829.5825716026812,52458.0,49641.0,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,276205.0,VIC,514.0800455889565,51.05908259930199,58.61184975901611
21610,Casey,2021,369558.0,902.6,34.1,2336.0,-1500.0,1030.0,54322.0,51505.0,5.7,65.2,61.2,14.8,286744.0,VIC,836.0,89.1831477480472,75.28003988698687
21610,Casey,2022,378500.0,924.5,34.4,1653.0,3231.0,829.5825716026812,56004.0,53430.0,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,331657.0,VIC,4884.0,72.76591324580357,66.07985707163037
21610,Casey,2023,391277.0,955.7,34.5,1591.0,7336.0,829.5825716026812,60243.0,57008.0,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,349066.0,VIC,8927.0,74.4835466179159,66.38067143094565
21610,Casey,2024,404208.0,987.2,34.6,2990.0,6086.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,VIC,9076.0,53.466012963270735,66.43634701678577
21610,Casey,2025,414929.0,1013.4,42.209981718464356,1825.0,4382.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,VIC,6207.0,53.466012963270735,75.36438424464018
31000,Brisbane,2011,48391.60359536868,499.29614402744625,42.209981718464356,0.0978320637077612,513.9822135252488,951.0,51362.68905317535,49669.19890151097,5.3,66.6,64.3,20.2,38781.39796843893,QLD,514.0800455889565,71.90668107030082,68.73982050855908
31000,Brisbane,2016,48391.60359536868,499.29614402744625,42.209981718464356,0.0978320637077612,513.9822135252488,1065.0,51362.68905317535,49669.19890151097,6.8,65.7,68.8,22.1,38781.39796843893,QLD,514.0800455889565,56.30588333056341,69.3443576533156
31000,Brisbane,2017,48391.60359536868,499.29614402744625,42.209981718464356,0.0978320637077612,513.9822135252488,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,QLD,514.0800455889565,53.466012963270735,58.5769486455044
